cik,status,text
C47,1,light future prospects would best interest shareholders best interest repurchase outstanding shares february repurchased outstanding common stock program presently expect repurchase shares program subject regulation numerous governmental authorities united states countries certain proposed products require governmental approval prior commercial use approval process applicable pharmaceutical products therapeutic agents usually takes several years typically requires substantial expenditures licensees may encounter significant delays excessive costs respective efforts secure necessary approvals future united states foreign legislative administrative acts could also prevent delay regulatory approval licensees products failure obtain requisite governmental approvals failure obtain approvals scope requested could delay preclude licensees marketing products could limit commercial use products thereby material adverse effect liquidity financial condition offbalance sheet arrangements december outstanding letter credit amount used security lease laboratory warehouse facility also outstanding letter credit amount used security lease corporate headquarters manufacturing facility results operations primarily attributable reduced sales bulk raw materials mannatech natural alternatives yearoveryear sales decrease million specialty manufacturing revenues declined approximately million sales wormser declined result inventory reduction program implemented one wormers significant customers comparative net revenue information related operating segments shown following tables vs change net revenue total medical services division consumer services division delsite total medical services division revenues decreased royalty revenue unchanged revenues domestic sales divisions carringtonbranded wound care products decreased million million divisions international wound care product sales decreased levels decrease related lower demand european south american markets carringtonbranded wound care products decrease partially offset increase veterinary product sales sales due focused sales efforts sales medlinebranded dermal management products sold medline nonexclusive supply agreement entered increase
C47,1,amount used security lease corporate headquarters manufacturing facility results operations primarily attributable reduced sales bulk raw materials mannatech natural alternatives yearoveryear sales decrease million specialty manufacturing revenues declined approximately million sales wormser declined result inventory reduction program implemented one wormers significant customers comparative net revenue information related operating segments shown following tables vs change net revenue total medical services division consumer services division delsite total medical services division revenues decreased royalty revenue unchanged revenues domestic sales divisions carringtonbranded wound care products decreased million million divisions international wound care product sales decreased levels decrease related lower demand european south american markets carringtonbranded wound care products decrease partially offset increase veterinary product sales sales due focused sales efforts sales medlinebranded dermal management products sold medline nonexclusive supply agreement entered increase sales million due increased demand medline oral technology relatively unchanged increasing consumer services division recorded revenues million decrease million compared revenues million sales bulk manapol powder decreased million million million recent years division sold bulk manapol mannatech natural alternatives oneyear nonexclusive supply licensing agreements renewed annually division supplied manapol companies noncontract purchase order basis january entered threeyear supply trademark licensing agreement mannatech agreement calls minimum purchase quantities mannatech fixed price levels discontinues sales natural alternatives anticipate sales mannatech agreement million minimum levels required agreement total sales two customers million million years respectively sales divisions specialty manufacturing services business develops manufactures variety gels creams lotions drinks customers cosmetic skin care nutraceutical markets decreased million million million due mostly lower demand category customers particular wormser delsite subsidiary recorded decrease revenues
C47,1,million revenues million revenue recognized sbir grant awarded march compared due completion work grant additionally million revenue recognized million niaid grant preclinical development intranasal vaccine avian influenza revenue grant million approximately million funds remain drawn grant productrelated gross margin productrelated gross margin million decrease million levels productrelated gross margin percentage sales decreased vs change productrelated gross margin total medical services division consumer services division total medical services division improved productrelated gross margin primarily though reduced production costs medlinebranded products consumer services division reported decline million productrelated gross margin million million decrease primarily related lower sales bulk raw materials mentioned unfavorable manufacturing variances manufacturing operations costa rica variances driven decreased manapol production volumes delsites revenues million million respectively delsite direct cost goods sold research development cost selling general administrative expenses experienced decrease selling general administrative expenses expenses totaled million decrease million decrease primarily related additional costs allocated delsite improved bad debt recovery slightly offset increased salaries legal expenses research development specialized research development expenses support ongoing operations fell decreasing decrease result lower new product development research activities us opposed due fewer new product initiatives delsite operates independently specialized research development program responsible research development marketing proprietary gelsite technology controlled release delivery bioactive pharmaceutical ingredients delsites expenses totaled million decrease expenditures million decrease result reduced grantrelated spending combined research development expenses totaled million million years respectively expense income expense income primarily consists small miscellaneous adjustments various accounts interest expense net interest expense million recorded versus net interest expense million increase million due additional cash interest expense plus noncash
C47,1,expenses experienced decrease selling general administrative expenses expenses totaled million decrease million decrease primarily related additional costs allocated delsite improved bad debt recovery slightly offset increased salaries legal expenses research development specialized research development expenses support ongoing operations fell decreasing decrease result lower new product development research activities us opposed due fewer new product initiatives delsite operates independently specialized research development program responsible research development marketing proprietary gelsite technology controlled release delivery bioactive pharmaceutical ingredients delsites expenses totaled million decrease expenditures million decrease result reduced grantrelated spending combined research development expenses totaled million million years respectively expense income expense income primarily consists small miscellaneous adjustments various accounts interest expense net interest expense million recorded versus net interest expense million increase million due additional cash interest expense plus noncash debt discount amortization noncash debtissue cost amortization related million private placement financing debt discount related million private placement increased prior years expense interest expense related revolving lines credit increased due increased borrowing balances interest income decreased due lower levels operating cash balances income taxes incurred foreign income tax expense related operations costa rica result net losses period incurred foreign income tax related operations costa rica commenced operations costa rica july granted exemption first twelve years operation exemption next six years operation current tax rate costa rica increase effective july benefit expense us income taxes material effect adoption sfas february fasb issued sfas fair value option financial assets financial liabilities statements objective reduce complexity accounting financial instruments volatility earnings caused measuring related assets liabilities differently statement also requires information
C52,0, issuer purchases equity securities august board directors increased quarterly cash dividend per share per share repurchases corporations equity securities made fourth quarter
C233,0, cents per share cents per share increased dividend equal annual rate cents per share compared previous annual rate cents per share expect continue pay quarterly dividends related equity compensation plans
C304,0, otc bulletin board employee stock option plan amended expired following september fiscal year end
C345,0, companys class common stock class b common stock trade nasdaq national market trading symbols marsa class common stock marsb class b common stock prices set forth reflect high low sales prices companys common stock reported nasdaq national market quarters indicated also sets forth cash dividends declared quarters indicated fourth third second first fourth third second first range market price common stock class high class low class b high class b low cash dividend class class b additional equity part ii item may july november company made cash dividend payment per share class common stock class b common stock company november board directors company elected suspend payment future quarterly cash dividends company improves financial performance credit ratios improved sustainable basis june record holders companys class common stock record holders companys class b common stock july board directors announced plan
C489,0, market companys common stock generally inactive set forth high low closing bid prices scioto downs inc reported dow jones cash dividends paid declared fiscal quarter basis two years ended october bid prices include retail markups markdowns commissions number common stockholders company october totaled bid price dividends high low fourth quarter third quarter second quarter first quarter fourth quarter third quarter second quarter first quarter
C508,0, dividends declared us federal income tax law dividends holders common stock taxable extent paid current accumulated earnings profits generally amount dividend treated return capital reduce tax basis holders common stock stock dividend payments represent return capital company negative accumulated earnings profit position resulting fourth quarter operating losses incurred taxbasis loss see note stockholders equity included part ii item financial statements supplementary data composite index table contents
C521,0, quarter fiscal year high low dividend first quarter second quarter third quarter fourth quarter fiscal year april high low dividend first april board directors approved dividend per share shareholders record april dividends paid may
C601,0, however due positive results operations year ended december longer contractual restrictions february board directors declared special dividend per share quarterly dividend per share payable march shareholders record march
C619,0, following consummation merger public market common stock cease traded nyse longer required file periodic reports sec pursuant merger agreement scientific games cannot pay dividends prior effective time merger table contents program expired august share repurchase program expired august therefore additional repurchases prohibited total
C705,0, companys common stock companys common stock whether declare pay much pay decision company cannot provide assurance declare pay dividends amount paid three fiscal years ending september company repurchased total shares average price february sales air pollution control middle east sold worldwide third party sales fiscal fiscal fiscal increase sales domestic apc segment increased million million sales europe apc segment increased million million primarily due impact weaker dollar relative european currencies bha technologies business segment generated fiscal third party sales million compared prior year sales million increase within domestic apc segment fabric filter replacement parts service sales customers us declined million decline represented third consecutive year lower sales peaking million fiscal continuing decline product lines result ongoing economic contraction industrial manufacturing sectors us economy decision many customers defer expenditures capital improvements increases production capacity companys domestic esp sales increased million million portion business continued benefit companys favorable competitive position dealing operators coalfired boilers within us electric utility market export sales decreased million shipments latin america declined due worsening economy several countries including argentina venezuela company historically generated significant sales declines partially offset sales growth pacific rim sales companys europe apc segment expressed us dollars usd increased compared prior year million million however sales segment increased reported euros sales growth generated despite sluggish economic environment business segment supplemented daytoday sales replacement parts services increase projects esp rebuilds esp fabric filter equipment conversions shipments eptfe membrane bha technologies third party customers increased million increase primarily attributable incremental business industrial products nonconsumer apparel military garments gross margin consolidated gross
C705,0,expenditures capital improvements increases production capacity companys domestic esp sales increased million million portion business continued benefit companys favorable competitive position dealing operators coalfired boilers within us electric utility market export sales decreased million shipments latin america declined due worsening economy several countries including argentina venezuela company historically generated significant sales declines partially offset sales growth pacific rim sales companys europe apc segment expressed us dollars usd increased compared prior year million million however sales segment increased reported euros sales growth generated despite sluggish economic environment business segment supplemented daytoday sales replacement parts services increase projects esp rebuilds esp fabric filter equipment conversions shipments eptfe membrane bha technologies third party customers increased million increase primarily attributable incremental business industrial products nonconsumer apparel military garments gross margin consolidated gross margin sales fiscal compared fiscal fiscal year gross margins percentage sales improved domestic apc bha technologies business segments improvements attributable favorable mix business lower manufacturing overheads higher efficiency plant utilization particular significant increase esp production accomplished modest increase plant labor cost contributing favorable gross margin comparisons bha technologies gross margins benefited favorable product mix increased plant throughput increased throughput resulted higher shipments third parties well increased shipments eptfe membrane companys apc business segments year gross margin percentage sales europe apc segment declined due sales mix heavily weighted towards large project work operating expenses operating expenses million sales fiscal compared million sales fiscal increase operating expenses year compared prior year result normal wage increases together million additional expense relating increase employee profit sharing management bonuses corresponding higher company earnings
C705,0,margin sales fiscal compared fiscal fiscal year gross margins percentage sales improved domestic apc bha technologies business segments improvements attributable favorable mix business lower manufacturing overheads higher efficiency plant utilization particular significant increase esp production accomplished modest increase plant labor cost contributing favorable gross margin comparisons bha technologies gross margins benefited favorable product mix increased plant throughput increased throughput resulted higher shipments third parties well increased shipments eptfe membrane companys apc business segments year gross margin percentage sales europe apc segment declined due sales mix heavily weighted towards large project work operating expenses operating expenses million sales fiscal compared million sales fiscal increase operating expenses year compared prior year result normal wage increases together million additional expense relating increase employee profit sharing management bonuses corresponding higher company earnings increase also includes million higher information technology expense relating depreciation companys erp software million increase insurance costs additionally weakening usd resulted million increase expenses europe apc business segment expressed usd compared million increase expressed local currencies interest expense interest expense fiscal million compared million fiscal decline result decrease average borrowings million million together lower average interest rates approximately annually fiscal compared fiscal earnings income taxes pretax earnings domestic apc segment million sales fiscal compared million sales fiscal improved profitability result significant increase sales esp parts services increase gross margin dollars generated sales group offset sales declines domestic fabric filter international sales groups higher general administrative costs attributable business segment europe apc segment generated pretax earnings million fiscal fiscal although sales expressed local currencies increased average gross profit margin
C705,0,export sales net operating loss carryforwards utilized certain foreign subsidiaries net earnings net earnings million per diluted share fiscal compared million per diluted share fiscal exclusive cumulative effect accounting change net earnings million per diluted share fiscal improved earnings result significant growth sales esp parts services together higher sales profitability companys bha technologies segment weighted average common common equivalent shares outstanding million shares fiscal million shares fiscal fiscal compared fiscal net sales consolidated net sales fiscal million compared million year ended september fiscal also part fiscal terms certain contracts require bha issue standby letters credit bank guarantees assure performance open standby letters credit bank guarantees totaled million million september respectively timing revenue recognition certain projects achieve compounded sales growth annually time improve operating margins percentage sales across business segments greater time past three fiscal years companys consolidated earnings per diluted share increased compounded rate overall financial condition create difficult sales earnings comparison portion year early positive indicators potential results fiscal company pleased sales earnings growth bha technologies segment company believes segment well positioned additional growth fiscal incremental third party revenues within segment likely structured multiyear supply arrangements new customers extent segment increase sales earnings compared period prior year lower projected sales forward exchange contracts maturities comparable underlying intercompany loans september euro million usd million intercompany loans hedged using forward exchange contracts amount electric utility cash deposits secure performance bonds note income taxes payable loss benefits shares amounts amounts amounts loss summary activity related warranty reserve follows amounts thousands balance beginning period provisions warranty claims paid adjustments
C739,0, terms merger agreement allied permitted pay dividends pending closing merger conjunction companys signing definitive merger agreement january equity compensation plans suspended pending companys merger new future equity awards made unless merger transaction fails close future equity
C745,1, coupled woods recent bankruptcy filing
C785,0,stockholders equity reported companys form q quarter ended march hence company provided additional days february regain compliance applicable requirements shares companys common stock suspended delisted nasdaq system would much difficult dispose common stock obtain accurate quotations price securities turn could make difficult company issue securities pursuant debt equity offerings future june september companys common stock trading nasdaqs per share listing price june september company meet nasdaqs initial minimum stockholders equity cequirement million conditions may result companys common stock delisted nasdaq companys ended june high low high low approximately
C874,1, january suspended quarterly dividend common stock award plan longterm incentive
C918,0, market information following table sets forth high low sales prices closing common stock reported nasdaq market price high low fiscal year first quarter second quarter third quarter fourth quarter fiscal year first quarter second quarter third quarter fourth quarter holders record greater neurogens common stock currently held limited number stockholders owns greater outstanding common stock may effect limiting trading volume liquidity stock dividends
C981,0, publicly may yet total number average price announced plans purchased period shares purchased paid per share programs plans programs october october november november december december total timing amount shares repurchased dependent upon future employee stock option exercises amount future share repurchases cannot reliably estimated possible failure merger result agreement mr jerry moyes whereby acquire outstanding common stock per share common stock currently trading approximately acquisition price agreement terminated transaction otherwise fails close trading price common stock could decrease lower level
C1029,0, fiscal company increased cash dividend per common share outstanding common outstanding companys
C1144,0, may board directors extended common stock program december increased authorized funds million repurchases
C1171,0,upon general financial financing financial institutions order sustain operations near term
C1183,1, first quarter second quarter third quarter fourth quarter high low
C1245,0, increased dividend rate per share first quarter plan plan
C1295,0, company received notifications nasdaq stock market inc shares fail meet certain minimum requirements continued listing qualification requirements met shares likely delisted possibly soon june
C1303,0, stock prices high low quarter st quarter nd rd quarter
C1371,0, merger agreement prohibits us paying dividend without consent mens wearhouse us benchmark trade index c total return index nasdaq us benchmark retail trade index measurement date point graph last trading day fiscal year noted horizontal axis total return index values provided nasdaq prior fiscal year index values prepared nasdaq center research security prices university chicago university chicago called total return index nasdaq however nasdaq stopped getting index value data university chicago december therefore performance measured university chicago date nasdaq us benchmark trade index nasdaq us benchmark retail trade index december january specifically
C1404,0, high low fourth quarter third quarter second quarter first quarter
C1457,0,overthecounter bulletin board another quotation system exchange ostex would qualify ostex common stock delisted delisting could material adverse effect trading price liquidity stock shareholders ability sell shares ostex stock would severely limited among things listed nasdaq national market nasdaq smallcap market ostex common stock may constitute penny stock would place increased regulatory burdens brokers making less likely make market ostex stock loss ostex nasdaq national market status could also make difficult ostex raise capital would also complicate compliance state blue sky laws
C1495,1,nasdaq rather nasdaq listing rules calendar days date stockholders equity notice submit nasdaq plan regain compliance plan accepted nasdaq may grant extension calendar days date stockholders equity notice us evidence compliance submit plan nasdaq determine whether accept plan considering criteria likelihood plan result compliance nasdaqs continued listing criteria past compliance history reasons current noncompliance corporate events may occur within review period overall financial condition public disclosures nasdaq accept plan opportunity appeal decision hearings panel delisted cannot obtain listing another major market exchange stocks liquidity would suffer would likely experience reduced investor interest factors may result decrease stocks trading price delisting may also restrict us issuing additional securities securing financing
C1597,0, pink sheets high low first quarter second quarter third quarter fourth quarter
C1617,0, established equity compensation plan submitted vote securities holders therefore terminated options issued plan terminated fourth quarter fiscal endorsement agreement exchange amended exemption registration since issue single person
C1618,0,necessary debt financing consummate proposed merger potential bidders may make competitive responses proposed merger legislative regulatory economic developments may impact ability consummate proposed merger gca certain lawsuits filed challenging merger could result merger completed delay completion merger give assurance merger consummated case would realize anticipated benefits completed merger may adversely affect us september incurred approximately million costs due mergerrelated activities gca resulted significant decrease operating income addition certain circumstances may required pay termination fee million merger consummated merger gca pending subject business uncertainties contractual restrictions could disrupt business experienced whether pending merger gca completed may continue experience disruption current plans operations due pending merger could adverse effect business financial results employees key personnel may uncertainties effect pending merger uncertainties may impact ability retain recruit hire key personnel merger pending consummated date incurred continue incur significant costs expenses fees professional services transaction costs connection proposed merger gca fees costs payable us whether proposed merger consummated furthermore cannot predict suppliers customers view react proposed merger may hesitant business us light uncertainties ability perform due proposed acquisition us gca unable reassure customers suppliers continue transacting business us whether proposed merger consummated financial results may adversely affected terms merger agreement required operate business ordinary course also subject certain restrictions conduct business prior consummation proposed merger without consent gca including among things certain restrictions ability make certain capital expenditures investments acquisitions sell transfer dispose assets enter certain contracts customers amend organizational documents incur indebtedness restrictions could place extended period time consummation merger delayed could prevent us pursuing otherwise attractive business opportunities
C1618,0,various additional risks business including among others distraction management team associated expenses similar described connection proposed merger ability consummate alternative transaction valuation assigned business alternative transaction ability potential buyers ability access capital acceptable terms variables may adversely affect operations state state oklahoma operate ability operate jurisdiction may revoked suspended conditioned gaming regulators also material gaming taxes fees could change standards regulations manner negatively affects us government agency governmental agency court also addition suspension revocation nonrenewal limitation licenses would material adverse effect business operations financial condition results operations ability maintain key employees gaming authorities may deny limit condition suspend revoke gaming license related approval violations applicable gaming laws regulations may impose substantial fines take actions one could significant adverse effect business financial condition results operations changes existing gaming laws regulations new interpretations existing gaming laws may hinder prevent us continuing operate jurisdictions currently business would harm operating results particular enactment unfavorable legislation government efforts affecting directed manufacturers gaming operators referendums increase gaming taxes requirements use local distributors would likely negative impact operations moreover addition risk enforcement action also risk loss business reputation event potential legal regulatory investigation whether ultimately accused found committed violation addition gaming regulations also subject various federal state local foreign laws regulations affecting businesses general laws regulations could change interpreted differently future new laws regulations could enacted could affect financial performance expand product offering new market segments jurisdictions failure adequately manage expansion may limit existing operations negative impact ability grow could materially adverse business prospects new licenses permits approvals including thirdparty certifications games comply
C1618,0,injunction defendants completing merger certain conditions met iii rescission merger andor iv resultant damages costs christopher coffman v multimedia games holding company inc et al purported individual class action shareholder derivative suit filed october united states district court western district texas austin district company members companys board directors gca merger sub relating merger agreement suit alleges individual defendants breached fiduciary duties connection merger entities aided abetted individual defendants alleged breaches fiduciary duty suit seeks declaration action declared class action plaintiff certified class representative ii injunction defendants completing merger certain conditions met iii rescission merger andor iv resultant damages costs jose maciel v multimedia games holding company inc et al purported individual class action suit filed october united states district court western district texas austin district company members companys board directors gca merger sub relating merger suit alleges individual defendants breached fiduciary duties connection merger entities aided abetted individual defendants alleged breaches fiduciary duty suit seeks declaration action declared class action plaintiff certified class representative ii injunction defendants completing merger certain conditions met iii rescission merger andor iv resultant damages costs november mr maciel filed notice voluntary dismissal parties filed agreed motion consolidate remaining federal cases relating merger agreement greggory lewis v global cash access holdings inc et al dgn purported shareholder class derivative action brought behalf company purported class action suit brought behalf similarly situated shareholders company filed october district court travis county texas st judicial district gca merger sub members companys board directors company included nominal party relating merger agreement suit alleges individual defendants breached
C1697,1, july april december october market price high low fiscal quarter ended without prior express written consent holders notes representing less majority aggregate principal amount notes outstanding
C1700,0, closing sell equity securities fiscal year ended september registered securities act amended november netopias common stock increased value approximately announced signed definitive merger agreement motorola acquire outstanding shares netopia per share cash event merger completed could negative impact upon stock price operations developments relationships customers distributors suppliers losses major customers major projects major customers failure complete significant licensing transactions table contents
C1717,0, addition pursuant terms merger agreement described item recent developments declaration payment dividends suspended pending closing merger agreement
C1745,0, nyse january board directors declared quarterly dividend per share payable april stockholders record close business march whether pending merger henkel completed
C1751,1,purpose condition failure satisfy condition could result delisting common stock without right hearing march provided
C1790,1, trading ceased since march filing chapter cases
C1823,1, retroactively adjusted reflect reverse stock split sp apparel retail index january january january january table contents
C1833,0, approved shareholders share repurchase program reauthorized
C1902,0, january companys board directors increased value companys buyback program million total value billion
C1944,0, quarterly board declared dividend per share payable april stockholders record close business march
C1948,0, since november november october quoted fiscal quarters indicated giving retroactive effect october share reverse stock split however number shares held street name
C1964,1, threefortwo price range common stock year ended december fourth quarter third quarter second quarter year ended december fourth quarter third quarter periodic basis table contents djapi sales unregistered securities information regarding sale unregistered shares securities see item business item financial statements supplementary data note earnings loss per share note subsequent events
C1973,0, september companys common stock ceased trading nasdaq effective september upon completion goingprivate merger fiscal amount exceed quarterly estimated income tax payments required made shareholder
C2021,0,stock espp pursuant evergreen provisions espp file registration statement covering additional shares december board directors terminated espp last sales occurred espp june consequence failure register qualify sales common stock espp certain espp participants may right rescind purchases espp prior june may right recover damages us others related unregistered nonqualified sale espp shares governmental regulatory authorities may seek penalties sanctions us respect failure register qualify espp sales failure timely disclose failure register qualify espp shares
C2083,1, february february nasdaq stock market llc suspended trading companys common stock following commencement chapter cases delisted common stock effective march companys common stock traded otcqb market place otc market groups february symbol schsq june effective date reorganization plan common stock held shareholders canceled june effective date reorganization plan june record holders new common stock reorganized company issued pursuant reorganization plan copyright russel investment group roghts reserved
C2133,0, effective february due low trading volumes stock ceased quoted otcbb currently quoted otcqb second three tiers otc market group consultants
